tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,
213,2018-02-01 15:00:17,2018-02-01 15:03:50,189,Kendall T,42.362427842912396,-71.08495473861694,107,Ames St at Main St,42.3625,-71.08822,1938,Subscriber,1990,1,
847,2018-02-01 15:02:16,2018-02-01 15:16:23,178,MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,22,Subscriber,1973,1,
1536,2018-02-01 15:02:49,2018-02-01 15:28:25,21,Prudential Center - Belvedere St,42.34652003998412,-71.08065776545118,70,Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,1269,Subscriber,1966,1,
240,2018-02-01 15:03:01,2018-02-01 15:07:02,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,1919,Subscriber,1987,2,
496,2018-02-01 15:03:45,2018-02-01 15:12:01,107,Ames St at Main St,42.3625,-71.08822,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,1860,Subscriber,1983,1,
311,2018-02-01 15:03:54,2018-02-01 15:09:05,49,Stuart St at Charles St,42.351146,-71.066289,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,85,Subscriber,1967,1,
273,2018-02-01 15:05:40,2018-02-01 15:10:14,107,Ames St at Main St,42.3625,-71.08822,177,University Park,42.36264779118595,-71.10006093978882,1831,Subscriber,1993,1,
143,2018-02-01 15:07:08,2018-02-01 15:09:32,100,Davis Square,42.396969,-71.123024,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,752,Subscriber,1972,2,
1186,2018-02-01 15:07:53,2018-02-01 15:27:40,56,Dudley Square - Dudley St at Warren St,42.32854046293402,-71.08416482806204,44,Congress St at North St,42.360613,-71.057452,1899,Subscriber,1993,2,
262,2018-02-01 15:08:07,2018-02-01 15:12:29,12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624444796878,-71.08798563480377,160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601097239,-71.09627097845076,1918,Subscriber,1996,1,
1926,2018-02-01 15:08:15,2018-02-01 15:40:22,142,Alewife Station at Russell Field,42.396105,-71.139459,21,Prudential Center - Belvedere St,42.34652003998412,-71.08065776545118,1211,Subscriber,1988,0,
1355,2018-02-01 15:08:18,2018-02-01 15:30:54,8,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.3436658245146,-71.08582377433777,278,Subscriber,1993,1,
