x,y
-71.10301637,42.35990774
-71.10004323,42.3590218
-71.10299909,42.3606818
-71.10227496,42.35858813
-71.09834472,42.35686003
-71.10121241,42.36065337
-71.10129968,42.35933238
-71.09969531,42.36041266
-71.1014738,42.35916897
-71.10099957,42.36110904
-71.10116921,42.35775784
-71.10242633,42.35963287
-71.10061385,42.3601615
-71.10200665,42.36106089
-71.1017779,42.35783101
-71.09900175,42.35867603
-71.10208805,42.35899718
-71.10134802,42.35893913
-71.10322614,42.36066102
-71.1007807,42.35824642
-71.10232749,42.35903439
-71.09974579,42.36031148
-71.10288679,42.35955155
-71.10121134,42.35709583
-71.10339494,42.36061767
-71.09906237,42.35864918
-71.10265974,42.36033566
-71.09946878,42.36008668
-71.10247775,42.36137407
-71.1001137,42.35691852
-71.09811523,42.35877627
-71.10324768,42.35972026
-71.1027487,42.35923607
-71.09955946,42.35957958
-71.1011759,42.36092309
-71.0988205,42.35885698
-71.10214468,42.36006858
-71.10279263,42.35916568
-71.09935143,42.35972485
-71.09941746,42.36037548
-71.10258907,42.36048098
-71.10246712,42.35937197
-71.10105318,42.36122533
-71.10109126,42.35924081
-71.10283867,42.35929803
-71.10175912,42.35860407
-71.10020282,42.35846971
-71.10054175,42.35780463
-71.10128138,42.36131775
-71.10042411,42.35804058
-71.09948145,42.35750451
-71.10118884,42.35911922
-71.10032706,42.36025314
-71.10129651,42.35936533
-71.10027512,42.35691242
-71.10080624,42.36031023
-71.09855411,42.35959888
-71.10042821,42.35953801
-71.09978571,42.35709029
-71.10020925,42.35993469
-71.09915696,42.35787846
-71.09973624,42.35924344
-71.10285988,42.36182212
-71.10227483,42.35965865
-71.10209406,42.35920217
-71.09974042,42.35988555
-71.10112953,42.35852517
-71.09964068,42.35954394
-71.10355316,42.36137648
-71.10049738,42.35828441
-71.10046286,42.36008568
-71.10049813,42.36031794
-71.10265513,42.35903569
-71.10090131,42.35979156
-71.09956814,42.35939771
-71.10162755,42.36096838
-71.09971307,42.35831397
-71.10123554,42.35676227
-71.10321687,42.36117776
-71.10101875,42.35834459
-71.10082823,42.36043707
-71.10247186,42.35969182
-71.10249911,42.35900269
-71.10123559,42.36057641
-71.10113967,42.35979852
-71.10190292,42.35835555
-71.09814705,42.35793244
-71.10130938,42.35916652
-71.10064253,42.35973344
-71.10004047,42.35870158
-71.10007151,42.35988058
-71.10154623,42.3590558
-71.10179516,42.36082301
-71.10150598,42.36005671
-71.10203961,42.35894999
-71.10026925,42.35940283
-71.1024096,42.36174417
-71.10125311,42.36049264
-71.10037136,42.36024714
-71.10017836,42.35955121
-71.10074454,42.36051683
-71.10198818,42.36050984
-71.10042519,42.3584627
-71.10078751,42.3594507
-71.1016254,42.36049369
-71.10206908,42.35888427
-71.1031348,42.36068459
-71.09949113,42.3597972
-71.10097954,42.35884731
-71.10089494,42.35727569
-71.10086005,42.35939272
-71.10319615,42.36091465
-71.10111492,42.3602069
-71.10225868,42.36016588
-71.10071888,42.35817087
-71.09998051,42.35862182
-71.10143182,42.36022231
-71.10194051,42.3598816
-71.09966811,42.36027371
-71.10023883,42.36075312
-71.10094194,42.35911367
-71.10251412,42.35897112
-71.10093859,42.35890578
-71.10047207,42.35786352
-71.10187059,42.35907405
-71.10235616,42.3587378
-71.10122403,42.35935958
-71.10306754,42.36184704
-71.09843277,42.35582433
-71.1021142,42.36130764
-71.10160203,42.35916891
-71.1028506,42.35940547
-71.10063052,42.36001823
-71.10126497,42.35943211
-71.10152021,42.35823334
-71.10097485,42.35860381
-71.10206938,42.36055858
-71.10179961,42.3615582
