"","x","y"
"1",-71.0565612365785,42.3520593821863
"2",-71.055797946658,42.3510839634098
"3",-71.0554348336771,42.3498892193934
"4",-71.054648382129,42.3502560286412
"5",-71.0550341507429,42.3506857715344
"6",-71.0549808175621,42.3492001111289
"7",-71.0557234322286,42.351973322675
"8",-71.0541251549415,42.3521784704342
"9",-71.055654426105,42.3541575791677
"10",-71.0545554075148,42.3534417997351
"11",-71.0547459190868,42.3525259834108
"12",-71.0555431254464,42.35043539264
"13",-71.0563575052253,42.3532056829358
"14",-71.0547937463761,42.3519109654643
"16",-71.0544070561191,42.3525727946945
"18",-71.0557448792813,42.3521079268645
"20",-71.0569961168024,42.3524380068235
"21",-71.0548525177578,42.3528715598499
"22",-71.0556227659407,42.3515908986924
"23",-71.0569793956123,42.3522725853371
"24",-71.0563303219399,42.3496527281952
"25",-71.0557474097205,42.3521185670537
"26",-71.0552629912872,42.3497241642641
"28",-71.0539817131216,42.3519026667715
"29",-71.0546999984655,42.3507193710453
"30",-71.0543118575306,42.3510951988293
"31",-71.0540540531196,42.3513304811765
"32",-71.0562447889448,42.3510245655538
"33",-71.0555755625023,42.3513960509698
"35",-71.0547708974927,42.3528188561472
"37",-71.0555595389782,42.3538938883133
"38",-71.0567719467313,42.3530667856345
"39",-71.0553103825847,42.3540635090169
"40",-71.0564668212598,42.3509386938456
"41",-71.0557419761116,42.3519902930655
"42",-71.0549526537071,42.3510177958983
"43",-71.0555426124257,42.3515603777517
"44",-71.0554211537144,42.3532996966796
"45",-71.0556804852415,42.3518202514259
"46",-71.056969098125,42.352773372786
"47",-71.054541213762,42.3513839620319
"48",-71.0551869229704,42.350633281947
"51",-71.0534857716974,42.3501572949613
"52",-71.0555796393612,42.3535950779793
"53",-71.0544691233152,42.3520798560758
"54",-71.0566124823531,42.35084087179
"55",-71.0555117072745,42.3518794756156
"56",-71.0569498965889,42.3516600083744
"57",-71.0551428244521,42.3531056510569
"58",-71.0551911476688,42.3520817662759
"61",-71.0541190374048,42.3528123451299
"63",-71.0553606931201,42.3542737995061
"64",-71.0558477542058,42.3522631064643
"65",-71.0550449479225,42.3501176997712
"67",-71.0545896765806,42.350521832527
"68",-71.0554374568285,42.3509497233764
"70",-71.0557458429918,42.3539372724385
