tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,
617,2018-01-01 15:00:34,2018-01-01 15:10:52,49,Stuart St at Charles St,42.351146,-71.066289,25,South End Library - Tremont St at W Newton St,42.341332,-71.076847,883,Subscriber,1957,1,
318,2018-01-01 15:01:20,2018-01-01 15:06:38,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,736,Subscriber,1991,1,
449,2018-01-01 15:07:52,2018-01-01 15:15:21,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,1001,Subscriber,1992,1,
632,2018-01-01 15:11:27,2018-01-01 15:22:00,152,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,1753,Subscriber,1984,1,
1039,2018-01-01 15:23:36,2018-01-01 15:40:56,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.3436658245146,-71.08582377433777,1009,Subscriber,1986,1,
665,2018-01-01 15:26:02,2018-01-01 15:37:07,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1850,Subscriber,1995,2,
306,2018-01-01 15:38:36,2018-01-01 15:43:43,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,177,University Park,42.36264779118595,-71.10006093978882,1321,Subscriber,1995,2,
614,2018-01-01 15:38:51,2018-01-01 15:49:06,35,Arch St at Franklin St,42.35581929709065,-71.05887290099417,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,132,Subscriber,1965,2,
153,2018-01-01 15:45:00,2018-01-01 15:47:33,31,Seaport Hotel - Congress St at Seaport Ln,42.34881026188269,-71.04167744055303,7,Fan Pier,42.3533905070523,-71.04457139968872,111,Subscriber,1991,2,
860,2018-01-01 15:47:46,2018-01-01 16:02:06,4,Tremont St at E Berkeley St,42.345392,-71.069616,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.3436658245146,-71.08582377433777,1149,Subscriber,1993,1,
703,2018-01-01 15:57:47,2018-01-01 16:09:30,178,MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,21,Prudential Center - Belvedere St,42.34652003998412,-71.08065776545118,1286,Subscriber,1995,2,
199,2018-01-01 16:03:01,2018-01-01 16:06:21,178,MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,1670,Subscriber,1994,1,
455,2018-01-01 16:06:32,2018-01-01 16:14:07,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,6,Cambridge St at Joy St,42.361199417496216,-71.06519486764228,749,Subscriber,1990,1,
1941,2018-01-01 16:08:51,2018-01-01 16:41:13,224,Fresh Pond Reservation,42.38267827521855,-71.143478951426,224,Fresh Pond Reservation,42.38267827521855,-71.143478951426,552,Subscriber,1990,1,
643,2018-01-01 16:23:41,2018-01-01 16:34:25,218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586001198456,-71.04569256305693,218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586001198456,-71.04569256305693,1664,Subscriber,1954,1,
191,2018-01-01 16:24:02,2018-01-01 16:27:14,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,43,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,582,Subscriber,1991,1,
516,2018-01-01 16:26:22,2018-01-01 16:34:58,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,35,Arch St at Franklin St,42.35581929709065,-71.05887290099417,132,Subscriber,1965,2,
218,2018-01-01 16:28:18,2018-01-01 16:31:57,43,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,1862,Subscriber,1991,1,
192,2018-01-01 16:30:16,2018-01-01 16:33:29,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,43,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,787,Subscriber,1989,1,
384,2018-01-01 16:34:42,2018-01-01 16:41:07,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,1542,Subscriber,1991,1,
579,2018-01-01 16:38:34,2018-01-01 16:48:14,57,Columbus Ave at Massachusetts Ave,42.340542615516355,-71.08138847914233,51,Washington St at Lenox St,42.3350989929096,-71.07903778553009,1244,Subscriber,1957,1,
1019,2018-01-01 16:44:07,2018-01-01 17:01:06,224,Fresh Pond Reservation,42.38267827521855,-71.143478951426,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,556,Subscriber,1990,1,
421,2018-01-01 16:47:43,2018-01-01 16:54:44,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,1964,Subscriber,1984,1,
