,x,y,time
1,-71.09146214,42.36219467,8
2,-71.09042009,42.36209367,84
3,-71.09056821,42.36175741,209
4,-71.09069916,42.36082809,145
5,-71.09058872,42.36143335,198
6,-71.09021685,42.36286892,86
7,-71.09107964,42.36260843,96
8,-71.09209005,42.36130604,91
9,-71.0921206,42.36301813,166
10,-71.09132119,42.36144653,74
11,-71.08979921,42.36141948,201
12,-71.09147773,42.36048882,165
13,-71.09028479,42.36165823,173
14,-71.09067281,42.3632999,161
15,-71.09222103,42.36235354,233
16,-71.09246434,42.36290196,185
17,-71.09384996,42.36199111,314
18,-71.09092928,42.36202052,56
19,-71.09041076,42.36182516,164
20,-71.0905382,42.36409079,250
21,-71.09067994,42.3619081,62
22,-71.08980588,42.35964758,411
23,-71.09413858,42.36271926,293
24,-71.09229321,42.36182582,113
25,-71.09058161,42.36245262,48
26,-71.09244535,42.36215012,206
27,-71.09016857,42.36270646,95
28,-71.09263623,42.3631214,197
29,-71.09107525,42.36078247,140
30,-71.0918469,42.36209982,217
31,-71.09094689,42.36335776,164
32,-71.09230977,42.36098916,60
33,-71.0912348,42.3623092,14
34,-71.08994171,42.36283783,116
35,-71.09218018,42.36011995,60
36,-71.09215626,42.36349791,220
37,-71.09336468,42.36343511,299
38,-71.09191936,42.36250842,169
39,-71.090593,42.36344725,252
40,-71.09202438,42.36126181,89
41,-71.09075698,42.36258938,45
42,-71.09045812,42.36132304,198
43,-71.08999488,42.3593745,436
44,-71.09003567,42.36315022,136
45,-71.09308158,42.36086251,163
46,-71.09134996,42.36327681,155
47,-71.09062503,42.36145204,197
48,-71.08973364,42.36235744,146
49,-71.09091122,42.36225635,10
50,-71.09197704,42.36122039,89
51,-71.09267192,42.36141097,130
52,-71.09184931,42.3622555,217
53,-71.09267797,42.36290066,198
54,-71.09038315,42.36424165,258
55,-71.09189631,42.36217808,217
56,-71.09054385,42.36362597,253
57,-71.09339577,42.36363204,324
58,-71.09075391,42.36384347,239
59,-71.09130183,42.36156601,66
60,-71.09232127,42.36318948,212
61,-71.09256618,42.36311157,204
62,-71.09178826,42.36256638,166
63,-71.09003,42.36162269,177
64,-71.09209304,42.36174961,93
65,-71.08982644,42.36215235,161
66,-71.09341775,42.36212532,259
67,-71.09120063,42.36313598,144
68,-71.09326929,42.36196847,275
69,-71.09386359,42.36285827,276
70,-71.09149973,42.36297351,130
71,-71.09160792,42.36087455,161
72,-71.09080461,42.36178851,50
73,-71.09232876,42.36114203,107
74,-71.09377816,42.36172198,312
75,-71.09015641,42.36193501,145
76,-71.09486599,42.36157344,384
77,-71.09238032,42.36285004,179
78,-71.09026314,42.36317267,136
79,-71.09164237,42.36386828,237
80,-71.08956571,42.35915581,551
81,-71.09031055,42.36355582,266
82,-71.09005256,42.36232706,144
83,-71.08985507,42.36267719,122
84,-71.09098715,42.36018033,344
85,-71.09336743,42.36137272,335
86,-71.08977932,42.36192472,164
87,-71.09147237,42.36152637,64
88,-71.09092748,42.36279672,88
89,-71.09406802,42.36299721,291
90,-71.09068363,42.36200259,66
91,-71.09090072,42.36292014,87
92,-71.09093661,42.36012546,344
93,-71.09147815,42.36214868,12
94,-71.09175685,42.36272979,137
95,-71.09034119,42.36208839,129
96,-71.08946815,42.36044654,274
97,-71.09277268,42.36302123,204
98,-71.09109299,42.36190161,43
99,-71.09142249,42.36213401,10
100,-71.09012991,42.36299187,126
101,-71.09142489,42.36121848,93
